n,array_type,algorithm,threshold,time_us
33500,random,hybrid,20,1619
33500,random,hybrid,30,1622
33500,random,hybrid,50,1376
33500,reversed,merge,0,2459
33500,reversed,hybrid,5,2234
33500,reversed,hybrid,10,1943
33500,reversed,hybrid,20,2845
33500,reversed,hybrid,30,1967
33500,reversed,hybrid,50,2379
33500,almost,merge,0,2719
33500,almost,hybrid,5,2394
33500,almost,hybrid,10,2262
33500,almost,hybrid,20,2102
33500,almost,hybrid,30,2086
33500,almost,hybrid,50,1945
34500,random,merge,0,2467
34500,random,hybrid,5,1987
34500,random,hybrid,10,1806
34500,random,hybrid,20,1634
34500,random,hybrid,30,1615
34500,random,hybrid,50,1451
34500,reversed,merge,0,2538
34500,reversed,hybrid,5,2089
34500,reversed,hybrid,10,2014
34500,reversed,hybrid,20,2005
34500,reversed,hybrid,30,2019
34500,reversed,hybrid,50,2533
34500,almost,merge,0,2903
34500,almost,hybrid,5,2523
34500,almost,hybrid,10,2342
34500,almost,hybrid,20,2132
34500,almost,hybrid,30,2121
34500,almost,hybrid,50,2056
35500,random,merge,0,2531
35500,random,hybrid,5,2165
35500,random,hybrid,10,1858
35500,random,hybrid,20,1648
35500,random,hybrid,30,1640
35500,random,hybrid,50,1445
35500,reversed,merge,0,2766
35500,reversed,hybrid,5,2130
35500,reversed,hybrid,10,2088
35500,reversed,hybrid,20,2085
35500,reversed,hybrid,30,3188
35500,reversed,hybrid,50,2625
35500,almost,merge,0,3061
35500,almost,hybrid,5,2539
35500,almost,hybrid,10,2419
35500,almost,hybrid,20,2219
35500,almost,hybrid,30,2203
35500,almost,hybrid,50,2103
36500,random,merge,0,2539
36500,random,hybrid,5,2060
36500,random,hybrid,10,1865
36500,random,hybrid,20,1711
36500,random,hybrid,30,1656
36500,random,hybrid,50,1484
36500,reversed,merge,0,2777
36500,reversed,hybrid,5,2232
36500,reversed,hybrid,10,2100
36500,reversed,hybrid,20,2205
36500,reversed,hybrid,30,2198
36500,reversed,hybrid,50,2780
36500,almost,merge,0,3161
36500,almost,hybrid,5,2618
36500,almost,hybrid,10,2475
36500,almost,hybrid,20,2271
36500,almost,hybrid,30,2273
36500,almost,hybrid,50,2138
37500,random,merge,0,2518
37500,random,hybrid,5,2145
37500,random,hybrid,10,1903
37500,random,hybrid,20,1695
37500,random,hybrid,30,1762
37500,random,hybrid,50,1555
37500,reversed,merge,0,2829
37500,reversed,hybrid,5,3190
37500,reversed,hybrid,10,2952
37500,reversed,hybrid,20,2261
37500,reversed,hybrid,30,2225
37500,reversed,hybrid,50,2834
37500,almost,merge,0,3195
37500,almost,hybrid,5,2644
37500,almost,hybrid,10,2534
37500,almost,hybrid,20,2336
37500,almost,hybrid,30,2332
37500,almost,hybrid,50,2190
38500,random,merge,0,2663
38500,random,hybrid,5,2175
38500,random,hybrid,10,1978
38500,random,hybrid,20,1734
38500,random,hybrid,30,1754
38500,random,hybrid,50,1561
38500,reversed,merge,0,2883
38500,reversed,hybrid,5,2349
38500,reversed,hybrid,10,2231
38500,reversed,hybrid,20,2731
38500,reversed,hybrid,30,2898
38500,reversed,hybrid,50,2954
38500,almost,merge,0,3196
38500,almost,hybrid,5,2725
38500,almost,hybrid,10,2667
38500,almost,hybrid,20,2360
38500,almost,hybrid,30,2424
38500,almost,hybrid,50,2316
39500,random,merge,0,3025
39500,random,hybrid,5,2817
39500,random,hybrid,10,2304
39500,random,hybrid,20,1776
39500,random,hybrid,30,2200
39500,random,hybrid,50,2059
39500,reversed,merge,0,2965
39500,reversed,hybrid,5,2427
39500,reversed,hybrid,10,2357
39500,reversed,hybrid,20,2441
39500,reversed,hybrid,30,2458
39500,reversed,hybrid,50,3243
39500,almost,merge,0,3314
39500,almost,hybrid,5,2986
39500,almost,hybrid,10,2772
39500,almost,hybrid,20,2486
39500,almost,hybrid,30,2526
39500,almost,hybrid,50,2724
40500,random,merge,0,2871
40500,random,hybrid,5,2247
40500,random,hybrid,10,2047
40500,random,hybrid,20,1821
40500,random,hybrid,30,1828
40500,random,hybrid,50,1633
40500,reversed,merge,0,2877
40500,reversed,hybrid,5,2434
40500,reversed,hybrid,10,2310
40500,reversed,hybrid,20,2453
40500,reversed,hybrid,30,2505
40500,reversed,hybrid,50,3239
40500,almost,merge,0,4452
40500,almost,hybrid,5,3061
40500,almost,hybrid,10,3779
40500,almost,hybrid,20,2555
40500,almost,hybrid,30,2485
40500,almost,hybrid,50,2381
41500,random,merge,0,2933
41500,random,hybrid,5,2324
41500,random,hybrid,10,2200
41500,random,hybrid,20,1971
41500,random,hybrid,30,1895
41500,random,hybrid,50,1689
41500,reversed,merge,0,3175
41500,reversed,hybrid,5,2512
41500,reversed,hybrid,10,2403
41500,reversed,hybrid,20,2496
41500,reversed,hybrid,30,2562
41500,reversed,hybrid,50,3328
41500,almost,merge,0,3533
41500,almost,hybrid,5,2968
41500,almost,hybrid,10,2795
41500,almost,hybrid,20,2679
41500,almost,hybrid,30,2641
41500,almost,hybrid,50,2465
42500,random,merge,0,3017
42500,random,hybrid,5,2389
42500,random,hybrid,10,2265
42500,random,hybrid,20,2128
42500,random,hybrid,30,1931
42500,random,hybrid,50,1753
42500,reversed,merge,0,3126
42500,reversed,hybrid,5,2606
42500,reversed,hybrid,10,2455
42500,reversed,hybrid,20,2469
42500,reversed,hybrid,30,2663
42500,reversed,hybrid,50,3477
42500,almost,merge,0,3832
42500,almost,hybrid,5,3100
42500,almost,hybrid,10,2919
42500,almost,hybrid,20,2755
42500,almost,hybrid,30,2612
42500,almost,hybrid,50,2489
43500,random,merge,0,3165
43500,random,hybrid,5,2640
43500,random,hybrid,10,2448
43500,random,hybrid,20,2216
43500,random,hybrid,30,1955
43500,random,hybrid,50,1775
43500,reversed,merge,0,3247
43500,reversed,hybrid,5,2683
43500,reversed,hybrid,10,2548
43500,reversed,hybrid,20,2501
43500,reversed,hybrid,30,2738
43500,reversed,hybrid,50,3543
43500,almost,merge,0,3640
43500,almost,hybrid,5,3225
43500,almost,hybrid,10,3085
43500,almost,hybrid,20,2873
43500,almost,hybrid,30,2697
43500,almost,hybrid,50,2587
44500,random,merge,0,3209
44500,random,hybrid,5,2594
44500,random,hybrid,10,2483
44500,random,hybrid,20,2292
44500,random,hybrid,30,2052
44500,random,hybrid,50,1855
44500,reversed,merge,0,3320
44500,reversed,hybrid,5,2795
44500,reversed,hybrid,10,2714
44500,reversed,hybrid,20,2547
44500,reversed,hybrid,30,2810
44500,reversed,hybrid,50,3791
44500,almost,merge,0,3780
44500,almost,hybrid,5,3295
44500,almost,hybrid,10,4085
44500,almost,hybrid,20,2926
44500,almost,hybrid,30,2766
44500,almost,hybrid,50,2692
45500,random,merge,0,3264
45500,random,hybrid,5,2695
45500,random,hybrid,10,2518
45500,random,hybrid,20,2300
45500,random,hybrid,30,2124
45500,random,hybrid,50,1859
45500,reversed,merge,0,3400
45500,reversed,hybrid,5,2842
45500,reversed,hybrid,10,2693
45500,reversed,hybrid,20,2644
45500,reversed,hybrid,30,2882
45500,reversed,hybrid,50,3835
45500,almost,merge,0,3959
45500,almost,hybrid,5,3354
45500,almost,hybrid,10,3289
45500,almost,hybrid,20,3033
45500,almost,hybrid,30,2896
45500,almost,hybrid,50,2822
46500,random,merge,0,3394
46500,random,hybrid,5,2783
46500,random,hybrid,10,2562
46500,random,hybrid,20,2343
46500,random,hybrid,30,2097
46500,random,hybrid,50,1867
46500,reversed,merge,0,3451
46500,reversed,hybrid,5,3033
46500,reversed,hybrid,10,2838
46500,reversed,hybrid,20,2642
46500,reversed,hybrid,30,2915
46500,reversed,hybrid,50,3956
46500,almost,merge,0,4045
46500,almost,hybrid,5,3493
46500,almost,hybrid,10,3296
46500,almost,hybrid,20,3189
46500,almost,hybrid,30,2944
46500,almost,hybrid,50,2777
47500,random,merge,0,3349
47500,random,hybrid,5,2863
47500,random,hybrid,10,2606
47500,random,hybrid,20,2381
47500,random,hybrid,30,2087
47500,random,hybrid,50,1906
47500,reversed,merge,0,3364
47500,reversed,hybrid,5,3102
47500,reversed,hybrid,10,2827
47500,reversed,hybrid,20,2764
47500,reversed,hybrid,30,3048
47500,reversed,hybrid,50,4098
47500,almost,merge,0,4104
47500,almost,hybrid,5,3612
47500,almost,hybrid,10,3361
47500,almost,hybrid,20,3137
47500,almost,hybrid,30,2931
47500,almost,hybrid,50,2879
48500,random,merge,0,3449
48500,random,hybrid,5,2889
48500,random,hybrid,10,2668
48500,random,hybrid,20,2441
48500,random,hybrid,30,2208
48500,random,hybrid,50,1991
48500,reversed,merge,0,3653
48500,reversed,hybrid,5,3173
48500,reversed,hybrid,10,2910
48500,reversed,hybrid,20,2795
48500,reversed,hybrid,30,3154
48500,reversed,hybrid,50,4282
48500,almost,merge,0,4124
48500,almost,hybrid,5,3733
48500,almost,hybrid,10,3458
48500,almost,hybrid,20,3227
48500,almost,hybrid,30,3058
48500,almost,hybrid,50,2916
49500,random,merge,0,3610
49500,random,hybrid,5,3010
49500,random,hybrid,10,2806
49500,random,hybrid,20,2514
49500,random,hybrid,30,2221
49500,random,hybrid,50,1986
49500,reversed,merge,0,3656
49500,reversed,hybrid,5,3173
49500,reversed,hybrid,10,2987
49500,reversed,hybrid,20,2883
49500,reversed,hybrid,30,3223
49500,reversed,hybrid,50,4444
49500,almost,merge,0,4392
49500,almost,hybrid,5,3723
49500,almost,hybrid,10,3605
49500,almost,hybrid,20,3419
49500,almost,hybrid,30,3338
49500,almost,hybrid,50,3111
50500,random,merge,0,3922
50500,random,hybrid,5,3061
50500,random,hybrid,10,2962
50500,random,hybrid,20,2534
50500,random,hybrid,30,2286
50500,random,hybrid,50,2057
50500,reversed,merge,0,3747
50500,reversed,hybrid,5,3324
50500,reversed,hybrid,10,3042
