n,array_type,algorithm,time_us
92500,reversed,intro,2649
92500,almost,quick,6229
92500,almost,intro,4426
93500,random,quick,9213
93500,random,intro,7874
93500,reversed,quick,4603
93500,reversed,intro,3022
93500,almost,quick,5951
93500,almost,intro,4209
94500,random,quick,9287
94500,random,intro,7886
94500,reversed,quick,4572
94500,reversed,intro,2694
94500,almost,quick,6050
94500,almost,intro,4387
95500,random,quick,9658
95500,random,intro,8135
95500,reversed,quick,4580
95500,reversed,intro,2802
95500,almost,quick,5953
95500,almost,intro,4410
96500,random,quick,9690
96500,random,intro,8034
96500,reversed,quick,5055
96500,reversed,intro,2920
96500,almost,quick,6385
96500,almost,intro,4349
97500,random,quick,9715
97500,random,intro,8153
97500,reversed,quick,4953
97500,reversed,intro,2929
97500,almost,quick,6035
97500,almost,intro,4210
98500,random,quick,10093
98500,random,intro,8191
98500,reversed,quick,4855
98500,reversed,intro,2842
98500,almost,quick,5885
98500,almost,intro,4271
99500,random,quick,9894
99500,random,intro,8383
99500,reversed,quick,5197
99500,reversed,intro,2934
99500,almost,quick,5771
99500,almost,intro,4038
